id,title,price,sold_quantity,available_quantity,category_id,permalink
MCO1431360787,Audifonos Lenovo X3 Pro Thinkplus De Conduccion Osea Bt 5.3,98000.0,0,1,MCO1000,https://www.mercadolibre.com.co/audifonos-lenovo-x3-pro-thinkplus-de-conduccion-osea-bt-53/p/MCO24561494
MCO2740440820,Televisor 32 Pulgadas Caixun C32vahw,626900.0,0,1,MCO1000,https://www.mercadolibre.com.co/televisor-32-pulgadas-caixun-c32vahw/p/MCO41725454
MCO1527995625,Convertidor A Smart Tv Onn Google Tv Streaming Hd Color Negro Tipo De Control Remoto Sí,132500.0,0,50,MCO1000,https://www.mercadolibre.com.co/convertidor-a-smart-tv-onn-google-tv-streaming-hd-color-negro-tipo-de-control-remoto-si/p/MCO42615803
MCO2536673368,"Logitech S150, Altavoces Estéreo Usb, Control Volumen / Mute Color Black 110v",141900.0,0,1,MCO1000,https://www.mercadolibre.com.co/logitech-s150-altavoces-estereo-usb-control-volumen-mute-color-black-110v/p/MCO15905462
MCO1505262841,Televisor Samsung Gaming Smart 50 Neo Qled 4k Qn90d,3899900.0,0,1,MCO1000,https://www.mercadolibre.com.co/televisor-samsung-gaming-smart-50-neo-qled-4k-qn90d/p/MCO41502027
MCO1472369701,Juandacolombia S18pro Micrófono Profesional Inalámbrico De Solapa Doble Receptor S18 Pro Para Celular Usb Tipo C iPhone Lightning Y Computador Negro,159920.0,0,1,MCO1000,https://www.mercadolibre.com.co/juandacolombia-s18pro-microfono-profesional-inalambrico-de-solapa-doble-receptor-s18-pro-para-celular-usb-tipo-c-iphone-lightning-y-computador-negro/p/MCO28471213
MCO1485478307,Xiaomi Mi Tv Box S 2nd Control De Voz 4k 8gb 2gb Ram Color Negro,265723.0,0,1,MCO1000,https://www.mercadolibre.com.co/xiaomi-mi-tv-box-s-2nd-control-de-voz-4k-8gb-2gb-ram-color-negro/p/MCO24219631
MCO1340619703,Micrófono Inalámbrico De Solapa Bomge S17 Para Celular Receptor 3 En 1 Tipo C iPhone Y Plug 3.5 Para Cámara Y Parlante Color Negro,137700.0,0,1,MCO1000,https://www.mercadolibre.com.co/microfono-inalambrico-de-solapa-bomge-s17-para-celular-receptor-3-en-1-tipo-c-iphone-y-plug-35-para-camara-y-parlante-color-negro/p/MCO24147278
MCO2740752988,Televisor Sony K-85s30 Bravia 3 4k Hdr Processor X1 Google,7669199.0,0,1,MCO1000,https://www.mercadolibre.com.co/televisor-sony-k-85s30-bravia-3-4k-hdr-processor-x1-google/p/MCO38674227
MCO1373162759,Amazon Dot Echo Dot 5th Gen Con Asistente Virtual Alexa Deep Sea Blue 110/220v,239990.0,0,1,MCO1000,https://www.mercadolibre.com.co/amazon-dot-echo-dot-5th-gen-con-asistente-virtual-alexa-deep-sea-blue-110220v/p/MCO19795011
